feature,importance
battery_voltage,14.587408343206116
voltage_deviation,13.339840914163249
odometer,0.7993038528720724
abs_current,0.7612529541560287
battery_current,0.7177223352323803
battery_temp,0.31607732260267096
odometer_diff,0.19857832470425074
temp_stress_index,0.18541718033863774
hour,0.1787951331610666
day_of_week,0.12511046258000136
is_charging,0.11736786414470295
month,0.050993391765393664
is_weekend,0.03372960322778093
is_peak,0.020802045319483473
drive_mode_encoded,7.929086758169638e-08
oem_encoded,0.0
model_encoded,0.0
